Símbolo	Nome	Tipo de Ativo
SMAB11.SA	Btg Pactual Smll B3 Fundo De Indice	EQUITY
DEBB11.SA	BTG Pactual Teva Debentures Di Fundo De Indice	EQUITY
BTWR11.SA	Btowers Fundo Investimento Imobiliario	EQUITY
SPYI11.SA	Buena Vista Us High Income Etf Fundo De Indice Neos U.S Equity High Income Index	EQUITY
B2MB34.SA	BUMBLE INC  DRN	EQUITY
B2UR34.SA	Burlington Stores, Inc.	EQUITY
BOXP34.SA	BXP INC     DRN	EQUITY
CEAB3.SA	CEA MODAS   ON      NM	EQUITY
C1HR34.SA	C.H. Robinson Worldwide, Inc.	EQUITY
C1AB34.SA	CABLE ONE INDRN	EQUITY
^FCHI	CAC 40	INDEX
C2AC34.SA	CACI International Inc	EQUITY
C1DN34.SA	Cadence Design Systems, Inc.	EQUITY
C2ZR34.SA	Caesars Entertainment, Inc.	EQUITY
XBOV11.SA	CAIXA ETF Ibovespa Fundo de Índice - Cotas Fund	EQUITY
CRFF11.SA	Caixa Rio Bravo Fundo De Fundos De Investimento Imobiliario II-Cotas	EQUITY
CXSE3.SA	Caixa Seguridade Participações S.A.	EQUITY
CAMB3.SA	CAMBUCI     ON	EQUITY
CAML3.SA	CAMIL       ON      NM	EQUITY
CNIC34.SA	Canadian National Railway Company	EQUITY
CPRL34.SA	Canadian Pacific Kansas City Limited	EQUITY
CCME11.SA	Canuma Capital Multiestrategia Fundo De Investimento Imobiliario	EQUITY
00937B.TWO	CAPITAL ICE ESG 20+ Year BBB Us Corporate ETF	ETF
CAON34.SA	Capital One Financial Corporation	EQUITY
00643.TW	CAPITAL SZSE SME 100 INDEX EXCHANGE TRADED FUND	ETF
00919.TW	Capital Tip Customized Taiwan Select High Dividend ETF	ETF
00946.TW	CAPITAL Tip Customized Taiwan Tech High Dividend And Growth ETF	ETF
00927.TW	CAPITAL INV TRUST CORP-TIP CSTM TW SEMICONDUCTOR DIV YIELD ETF	ETF
CPTR11.SA	Capitania Agro Strategies - Fiagro - Imobiliario Fund	EQUITY
CPTI11.SA	Capitania Infra Fic Fi Infra Rf Cp	EQUITY
AJFI11.SA	Capitania Malls Fundo De Investimento Imobiliario	EQUITY
CPOF11.SA	Capitania Office Properties FII - Fundo De Investimento Imobiliario	EQUITY
CPFF11.SA	Capitania Reit FOF - Fundo De Investimento Imobiliario	EQUITY
CPSH11.SA	Capitania Shoppings Fundo De Investimento Imobiliario	EQUITY
CAPH34.SA	Capri Holdings Limited	EQUITY
C1CL34.SA	Carnival Corporation & plc	EQUITY
CRIN34.SA	CARTERS INC DRN	EQUITY
CBOP11.SA	Castello Branco Off Park Fund In Im	EQUITY
CATP34.SA	Caterpillar Inc.	EQUITY
CAT	Caterpillar, Inc.	EQUITY
00830.TW	CATHAY SECS INV TRUST CO LTD PH	ETF
00878.TW	Cathay Sustainability High Dividend ETF	ETF
00664R.TW	CATHAY SECS INV TRUST CO LTD TA	ETF
00881.TW	CATHAY SECS INV TRUST CO LTD TA	ETF
00922.TW	Cathay MSCI Taiwan Leaders 50 Select ETF	ETF
00933B.TWO	Cathay US Corporate 10+ Years Banking ETF	ETF
00687B.TWO	CATHAY SECS INV TRUST CO LTD BB	ETF
00688L.TW	Cathay US Treasury 20+ YR Lev 2X ETF	ETF
C1BO34.SA	Cboe Global Markets, Inc.	EQUITY
^TNX	CBOE Interest Rate 10 Year T No	INDEX
^BUK100P	Cboe UK 100	INDEX
